"Var2","Freq"
"  household","Min.   :     48  "
"  household","1st Qu.: 389236  "
"  household","Median : 764131  "
"  household","Mean   : 759565  "
"  household","3rd Qu.:1137444  "
"  household","Max.   :1492278  "
" age_husband","Min.   :17.00  "
" age_husband","1st Qu.:42.00  "
" age_husband","Median :55.00  "
" age_husband","Mean   :54.32  "
" age_husband","3rd Qu.:66.00  "
" age_husband","Max.   :95.00  "
"   age_wife","Min.   :19.00  "
"   age_wife","1st Qu.:40.00  "
"   age_wife","Median :53.00  "
"   age_wife","Mean   :52.08  "
"   age_wife","3rd Qu.:63.00  "
"   age_wife","Max.   :95.00  "
"income_husband","Min.   : -6300  "
"income_husband","1st Qu.: 24000  "
"income_husband","Median : 43000  "
"income_husband","Mean   : 59831  "
"income_husband","3rd Qu.: 70500  "
"income_husband","Max.   :756000  "
" income_wife","Min.   : -6300  "
" income_wife","1st Qu.:  6225  "
" income_wife","Median : 18110  "
" income_wife","Mean   : 28985  "
" income_wife","3rd Qu.: 39600  "
" income_wife","Max.   :421000  "
"   bedrooms","Min.   : 0.000  "
"   bedrooms","1st Qu.: 3.000  "
"   bedrooms","Median : 3.000  "
"   bedrooms","Mean   : 3.117  "
"   bedrooms","3rd Qu.: 4.000  "
"   bedrooms","Max.   :10.000  "
" electricity","Min.   :  4.0  "
" electricity","1st Qu.: 80.0  "
" electricity","Median :110.0  "
" electricity","Mean   :131.9  "
" electricity","3rd Qu.:160.0  "
" electricity","Max.   :500.0  "
"     gas","Min.   :  3.00  "
"     gas","1st Qu.:  3.00  "
"     gas","Median : 20.00  "
"     gas","Mean   : 45.09  "
"     gas","3rd Qu.: 70.00  "
"     gas","Max.   :360.00  "
"number_children","Min.   : 0.0000  "
"number_children","1st Qu.: 0.0000  "
"number_children","Median : 0.0000  "
"number_children","Mean   : 0.6655  "
"number_children","3rd Qu.: 1.0000  "
"number_children","Max.   :12.0000  "
"  internet","Length:7811       "
"  internet","Class :character  "
"  internet","Mode  :character  "
"  internet",NA
"  internet",NA
"  internet",NA
"    mode","Length:7811       "
"    mode","Class :character  "
"    mode","Mode  :character  "
"    mode",NA
"    mode",NA
"    mode",NA
"    own","Length:7811       "
"    own","Class :character  "
"    own","Mode  :character  "
"    own",NA
"    own",NA
"    own",NA
"  language","Length:7811       "
"  language","Class :character  "
"  language","Mode  :character  "
"  language",NA
"  language",NA
"  language",NA
" decade_built","Min.   :1930  "
" decade_built","1st Qu.:1950  "
" decade_built","Median :1970  "
" decade_built","Mean   :1971  "
" decade_built","3rd Qu.:1990  "
" decade_built","Max.   :2010  "
